date,close,change,change_pct,per,pbr,dividend_yield_pct
2008-03-03,1671.73,-39.89,-2.33,14.87,1.55,1.57
2008-03-04,1676.18,4.45,0.27,14.92,1.55,1.57
2008-03-05,1677.1,0.92,0.05,14.93,1.55,1.57
2008-03-06,1697.44,20.34,1.21,15.12,1.57,1.55
2008-03-07,1663.97,-33.47,-1.97,15.07,1.54,1.58
2008-03-10,1625.17,-38.8,-2.33,14.48,1.51,1.62
2008-03-11,1641.48,16.31,1,14.62,1.52,1.6
2008-03-12,1658.83,17.35,1.06,14.78,1.54,1.59
2008-03-13,1615.62,-43.21,-2.6,14.42,1.5,1.63
2008-03-14,1600.26,-15.36,-0.95,14.28,1.49,1.65
2008-03-17,1574.44,-25.82,-1.61,14.05,1.46,1.67
2008-03-18,1588.75,14.31,0.91,14.17,1.48,1.66
2008-03-19,1622.23,33.48,2.11,14.54,1.51,1.62
2008-03-20,1623.39,1.16,0.07,14.55,1.51,1.62
2008-03-21,1645.69,22.3,1.37,14.76,1.53,1.6
2008-03-24,1655.3,9.61,0.58,14.84,1.54,1.59
2008-03-25,1674.93,19.63,1.19,15.03,1.56,1.57
2008-03-26,1679.67,4.74,0.28,15.07,1.56,1.57
2008-03-27,1676.24,-3.43,-0.2,15.04,1.56,1.57
2008-03-28,1701.83,25.59,1.53,15.28,1.58,1.55
2008-03-31,1703.99,2.16,0.13,15.39,1.59,1.54
2008-04-01,1702.25,-1.74,-0.1,15.39,1.59,1.54
2008-04-02,1742.19,39.94,2.35,15.76,1.62,1.5
2008-04-03,1763.63,21.44,1.23,15.95,1.64,1.48
2008-04-04,1766.49,2.86,0.16,15.97,1.65,1.48
2008-04-07,1773.56,7.07,0.4,16.03,1.65,1.48
2008-04-08,1754.71,-18.85,-1.06,15.86,1.63,1.49
2008-04-10,1764.64,9.93,0.57,15.95,1.64,1.48
2008-04-11,1779.71,15.07,0.85,16.09,1.66,1.47
2008-04-14,1746.71,-33,-1.85,15.78,1.63,1.5
2008-04-15,1742.17,-4.54,-0.26,15.74,1.62,1.5
2008-04-16,1758.56,16.39,0.94,15.88,1.64,1.49
2008-04-17,1768.67,10.11,0.57,15.96,1.65,1.48
2008-04-18,1771.9,3.23,0.18,15.99,1.65,1.48
2008-04-21,1800.48,28.58,1.61,16.25,1.68,1.46
2008-04-22,1787.49,-12.99,-0.72,16.09,1.66,1.47
2008-04-23,1800.79,13.3,0.74,16.21,1.67,1.46
2008-04-24,1799.34,-1.45,-0.08,16.2,1.67,1.46
2008-04-25,1824.68,25.34,1.41,16.43,1.7,1.44
2008-04-28,1823.17,-1.51,-0.08,16.42,1.7,1.44
2008-04-29,1811.51,-11.66,-0.64,16.33,1.68,1.45
2008-04-30,1825.47,13.96,0.77,14.47,1.52,1.67
