date,close,change,change_pct,open,high,low,volume_thousand_shares,trading_value_million_krw,market_cap_million_krw
2007-07-18,1930.7,-18.81,-0.96,1953.25,1956.82,1930.51,634999,8563815,955874803
2007-07-19,1937.9,7.2,0.37,1935.1,1950.86,1922.14,586289,7064339,959077634
2007-07-20,1983.54,45.64,2.36,1949.5,1983.54,1939.69,638754,8173142,981677342
2007-07-23,1993.05,9.51,0.48,1978.05,1993.97,1968.55,538578,8115959,986403776
2007-07-24,1992.26,-0.79,-0.04,2001.52,2005.02,1975.75,589378,8341428,985856566
2007-07-25,2004.22,11.96,0.6,1992.16,2011.17,1962.16,588350,8733849,996520178
2007-07-26,1963.54,-40.68,-2.03,2012.04,2015.48,1963.46,617007,9324397,976275717
2007-07-27,1883.22,-80.32,-4.09,1924.01,1924.11,1863.39,517224,9264955,936695401
2007-07-30,1906.71,23.49,1.25,1874.08,1906.71,1859.12,386210,6709264,948229021
2007-07-31,1933.27,26.56,1.39,1915.45,1933.27,1899.56,373768,6763413,961205968
2007-08-01,1856.45,-76.82,-3.97,1920.07,1920.07,1836.28,389623,8152282,923182724
2007-08-02,1853.07,-3.38,-0.18,1874.98,1890.81,1810.62,371815,6901890,921501242
2007-08-03,1876.8,23.73,1.28,1875.07,1890.63,1865.75,350262,5883600,933494967
2007-08-06,1855.05,-21.75,-1.16,1832.54,1855.36,1829.22,325170,5105465,922288882
2007-08-07,1859.82,4.77,0.26,1888.58,1888.76,1849.68,315654,5157645,924748773
2007-08-08,1903.41,43.59,2.34,1879.61,1905.22,1873.99,381959,6382810,946292662
2007-08-09,1908.68,5.27,0.28,1923.99,1928.64,1899.32,413873,6870340,949036104
2007-08-10,1828.49,-80.19,-4.2,1853.22,1854.62,1814.3,388049,7147241,909349573
2007-08-13,1849.26,20.77,1.14,1840.89,1849.31,1820.96,330052,5038303,919549657
2007-08-14,1817.89,-31.37,-1.7,1841.15,1857.13,1801.07,405732,5747447,904214176
2007-08-16,1691.98,-125.91,-6.93,1754.19,1755.32,1681.71,508224,8453547,841535086
2007-08-17,1638.07,-53.91,-3.19,1702.66,1705.17,1626.87,493204,7384079,815188117
2007-08-20,1731.27,93.2,5.69,1700.48,1732.39,1693.42,366720,6100631,861307667
2007-08-21,1736.18,4.91,0.28,1740.85,1764.25,1721.18,458897,5616686,864115351
2007-08-22,1759.5,23.32,1.34,1741.93,1764.61,1737.06,402645,5138706,875565596
2007-08-23,1799.72,40.22,2.29,1801.48,1816.19,1795.07,394699,5998596,895478946
2007-08-24,1791.33,-8.39,-0.47,1793.17,1802.71,1775.07,376032,4943015,891322272
2007-08-27,1803.03,11.7,0.65,1825.97,1834.65,1802.58,366028,5081557,896921597
2007-08-28,1829.31,26.28,1.46,1806.58,1829.43,1792.07,414126,5809555,910058741
2007-08-29,1826.19,-3.12,-0.17,1773.59,1831.23,1773.05,385911,7088010,908178142
2007-08-30,1841.7,15.51,0.85,1859.45,1866.32,1836.09,423271,5933556,916037898
2007-08-31,1873.24,31.54,1.71,1844.28,1873.35,1844.09,360374,6233831,932094723
2007-09-03,1881.81,8.57,0.46,1876.92,1881.92,1863.21,385653,4996488,936433215
2007-09-04,1874.74,-7.07,-0.38,1881.17,1899.66,1871.87,425711,5555060,933129786
2007-09-05,1865.59,-9.15,-0.49,1883.83,1898.67,1859.52,382865,5721469,928713282
